Title,Writer,Cast
A Match Made in Heaven,Aditya Chopra,"Shah Rukh Khan, Anushka Sharma, Vinay Pathak, M.K. Raina, Manmeet Singh Sawhney, Kajol, Rani Mukerji, Preity G Zinta, Bipasha Basu, Lara Dutta, Bobby Bedi, Vivan Bhatena, Puneet Cheema, Alene D'Souza, Aneesha Dalal, Areesz Ganddi, Rajesh Jais, Vineet Kapoor"
The Ghost and Mr. Chicken,"James Fritzell, Everett Greenbaum, Andy Griffith","Don Knotts, Joan Staley, Liam Redmond, Dick Sargent, Skip Homeier, Reta Shaw, Lurene Tuttle, Philip Ober, Harry Hickox, Charles Lane, Jesslyn Fax, Nydia Westman, George Chandler, Robert Cornthwaite, Jim Begg, Sandra Gould, James Millhollin, Cliff Norton"
The Uninvited,"Dodie Smith, Frank Partos, Dorothy Macardle","Ray Milland, Ruth Hussey, Donald Crisp, Cornelia Otis Skinner, Dorothy Stickney, Barbara Everest, Alan Napier, Gail Russell, David Clyde, Betty Farrington, Helena Grant, Lynda Grey, Holmes Herbert, Leyland Hodgson, John Kieran, Queenie Leonard, Moyna MacGill, Jessica Newcombe"
BRASSED Off,Mark Herman,"Pete Postlethwaite, Tara Fitzgerald, Ewan McGregor, Stephen Tompkinson, Jim Carter, Philip Jackson, Peter Martin, Sue Johnston, Mary Healey, Melanie Hill, Lill Roughley, Peter Gunn, Stephen Moore, Kenneth Colley, Olga Grahame, Toni Galacki, Sky Ingram, Luke McGann"
Barbara,"Christian Petzold, Harun Farocki","Nina Hoss, Ronald Zehrfeld, Rainer Bock, Christina Hecke, Claudia Geisler-Bading, Peter Weiss, Carolin Haupt, Deniz Petzold, Rosa Enskat, Jasna Fritzi Bauer, Peer-Uwe Teska, Elisabeth Lehmann, Mark Waschke, Peter Benedict, Thomas Neumann, Anette Daugardt, Thomas Bading, Susanne Bormann"
R.M.N.,Cristian Mungiu,"Marin Grigore, Judith State, Macrina Barladeanu, Orsolya Moldován, Rácz Endre, József Bíró, Ovidiu Crisan, Zoltán Deák, Cerasela Iosifescu, Andrei Finti, Bacs Miklos, Alin Panc, Victor Benderra, Amitha Jayasinghe, Gihan Edirisinghe, Nuwan Karunarathna, Kovacs Levente Jr., Varga Csilla"
True Stories,"Stephen Tobolowsky, Beth Henley, David Byrne","David Byrne, John Goodman, Annie McEnroe, Jo Harvey Allen, Spalding Gray, Alix Elias, Roebuck 'Pops' Staples, Tito Larriva, John Ingle, Matthew Posey, Swoosie Kurtz, Amy Buffington, Richard Dowlearn, Capucine De Wulf, Cynthia Gould, Kelly Wright, Hinpheth Siharath, Phyllis Wallace"
Fei ying gai wak,"Jackie Chan, Edward Tang","Jackie Chan, Carol 'Do Do' Cheng, Eva Cobo, Shôko Ikeda, Aldo Sambrell, Ken Goodman, Steve Tartalia, Vincent Lyn, Bruce Fontaine, Wayne Archer, Brandon Charles, Wai-Kwong Lo, Peter Klimenko, Christian Perrochaud, Jonathan Isgar, Daniel Mintz, Bozidar Smiljanic, Mark King"
Hawaii,Marco Berger,"Manuel Vignau, Mateo Chiarino, Luz Palazón, Antonia De Michelis, Manuel Martínez Sobrado"
Mauvais sang,Leos Carax,"Michel Piccoli, Juliette Binoche, Denis Lavant, Hans Meyer, Julie Delpy, Carroll Brooks, Hugo Pratt, Mireille Perrier, Serge Reggiani, Jérôme Zucca, Paul Handford, Charles Schmitt, François Négret, Philippe Fretun, Thomas Peckre, Ralph Brown, Eric Vasberg, Leos Carax"
Russkiy kovcheg,"Boris Khaimsky, Anatoli Nikiforov, Svetlana Proskurina","Sergey Dreyden, Mariya Kuznetsova, Leonid Mozgovoy, Mikhail Piotrovsky, David Giorgobiani, Aleksandr Chaban, Lev Eliseev, Oleg Khmelnitsky, Alla Osipenko, Artyom Strelnikov, Tamara Kurenkova, Maksim Sergeev, Natalya Nikulenko, Elena Rufanova, Yelena Spiridonova, Konstantin Anisimov, Aleksey Barabash, Ilya Shakunov"
The Buddy Holly Story,"Alan Swyer, John Goldrosen, Robert Gittler","Gary Busey, Don Stroud, Charles Martin Smith, Conrad Janis, William Jordan, Maria Richwine, Amy Johnston, Dick O'Neill, Fred Travalena, Neva Patterson, Arch Johnson, John F. Goff, Gloria Irizarry, Jody Berry, Richard Kennedy, Jim Beach, Gailard Sartain, Albert Popwell"
De grønne slagtere,Anders Thomas Jensen,"Nikolaj Lie Kaas, Mads Mikkelsen, Line Kruse, Ole Thestrup, Bodil Jørgensen, Aksel Erhardtsen, Lily Weiding, Nicolas Bro, Camilla Bendix, Elsebeth Steentoft, Kjeld Nørgaard, Peter Reichhardt, Kristian Halken, Lars Ranthe, Mikkel Vadsholt, Søren Thomsen, Mia Lyhne, André Lundemann"
The Ballad of Cable Hogue,"John Crawford, Edmund Penney, Gordon T. Dawson","Jason Robards, Stella Stevens, David Warner, Strother Martin, Slim Pickens, L.Q. Jones, Peter Whitney, R.G. Armstrong, Gene Evans, William Mims, Kathleen Freeman, Susan O'Connell, Vaughn Taylor, Max Evans, James Anderson, Felix Nelson, Darwin Lamb, Mary Munday"
Joshû 701-gô: Sasori,"Fumio Kônami, Hirô Matsuda, Tooru Shinohara","Meiko Kaji, Rie Yokoyama, Yayoi Watanabe, Yôko Mihara, Akemi Negishi, Keiko Kuni, Yumiko Katayama, Emi Jô, Sue Mitobe, Chie Kobayashi, Rie Yuki, Hideo Murota, Saburô Date, Shinzô Hotta, Yôichi Numata, Takeo Kamura, Shirô Hisano, Takashi Hio"
House of Games,"David Mamet, Jonathan Katz","Lindsay Crouse, Joe Mantegna, Mike Nussbaum, Lilia Skala, J.T. Walsh, Willo Hausman, Karen Kohlhaas, Steven Goldstein, Jack Wallace, Ricky Jay, G. Roy Levin, Bob Lumbra, Andy Potok, Allen Soule, Ben Blakeman, Scott Zigler, William H. Macy, John Pritchett"
I Confess,"George Tabori, William Archibald, Paul Anthelme","Montgomery Clift, Anne Baxter, Karl Malden, Brian Aherne, O.E. Hasse, Roger Dann, Dolly Haas, Charles Andre, Nan Boardman, Henry Corden, J. Léo Gagnon, Carmen Gingras, Albert Godderis, Alfred Hitchcock, Renée Hudon, Ovila Légaré, Gilles Pelletier, Judson Pratt"
The Draughtsman's Contract,Peter Greenaway,"Anthony Higgins, Janet Suzman, Anne-Louise Lambert, Hugh Fraser, Neil Cunningham, Dave Hill, David Gant, David Meyer, Tony Meyer, Nicholas Amer, Suzan Crowley, Lynda La Plante, Michael Feast, Alastair G. Cumming, Steve Ubels, Ben Kirby, Sylvia Rotter, Kate Doherty"
A Fantastic Woman,"Sebastián Lelio, Gonzalo Maza, Eliseo Altunaga","Daniela Vega, Francisco Reyes, Luis Gnecco, Aline Küppenheim, Nicolás Saavedra, Amparo Noguera, Trinidad González, Néstor Cantillana, Alejandro Goic, Antonia Zegers, Sergio Hernández, Roberto Farías, Cristián Chaparro, Diana Cassis, Eduardo Paxeco, Paola Lattus, Felipe Zambrano, Erto Pantoja"
Apollo 10 1/2: A Space Age Childhood,Richard Linklater,"Milo Coy, Jack Black, Lee Eddy, Bill Wise, Natalie L'Amoreaux, Josh Wiggins, Jessica Brynn Cohen, Sam Chipman, Danielle Guilbot, Zachary Levi, Glen Powell, Larry Jack Dotson, Mona Lee Fultz, Jennifer Griffin, Holt Boggs, Reese Armstrong, Natalie Joy, Suzanne Deal Booth"
Peyton Place,"John Michael Hayes, Grace Metalious","Lana Turner, Lee Philips, Lloyd Nolan, Arthur Kennedy, Russ Tamblyn, Terry Moore, Hope Lange, Diane Varsi, David Nelson, Barry Coe, Betty Field, Mildred Dunnock, Leon Ames, Lorne Greene, Robert H. Harris, Tami Conner, Staats Cotsworth, Peg Hillias"
Gentleman's Agreement,"Laura Z. Hobson, Moss Hart, Elia Kazan","Gregory Peck, Dorothy McGuire, John Garfield, Celeste Holm, Anne Revere, June Havoc, Albert Dekker, Jane Wyatt, Dean Stockwell, Nicholas Joy, Sam Jaffe, Harold Vermilyea, Ransom M. Sherman, Ed Agresti, Monya Andre, Edward Biby, Louise Buckley, Patricia Cameron"
Michael Jackson's This Is It,"Michael Jackson, Alex Al, Alexandra Apjarova","Michael Jackson, Alex Al, Alexandra Apjarova, Nick Bass, Michael Bearden, Irina Brecher, Daniel Celebre, Mekia Cox, Miles Faber, Chris Grant, Misha Gabriel Hamilton, Judith Hill, Dorian Holley, Shannon Holtzapffel, Devin Jamieson, Bashiri Johnson, Charles Klapow, Jonathan Lipman"
Nicholas and Alexandra,"Robert K. Massie, Edward Bond, James Goldman","Michael Jayston, Janet Suzman, Roderic Noble, Ania Marson, Lynne Frederick, Candace Glendenning, Fiona Fullerton, Harry Andrews, Irene Worth, Tom Baker, Jack Hawkins, Timothy West, Katherine Schofield, Jean-Claude Drouot, John Hallam, Guy Rolfe, John Wood, Laurence Olivier"
Thirty Seconds Over Tokyo,"Dalton Trumbo, Ted W. Lawson, Bob Considine","Spencer Tracy, Van Johnson, Robert Walker, Tim Murdock, Don DeFore, Herbert Gunn, Phyllis Thaxter, Stephen McNally, John R. Reilly, Robert Mitchum, Scott McKay, Donald Curtis, Louis Jean Heydt, William 'Bill' Phillips, Douglas Cowan, Paul Langton, Leon Ames, Bill Williams"
The Paper Chase,"John Jay Osborn Jr., James Bridges","Timothy Bottoms, Lindsay Wagner, John Houseman, Graham Beckel, James Naughton, Edward Herrmann, Craig Richard Nelson, Robert Lydiard, Lenny Baker, David Clennon, Regina Baff, Irma Hurley, Bill Moher, Blair Brown, Richard Whelan, Alan Kwinter, Nicholas Olah, David B. Johns"
Trick,Jason Schafer,"Christian Campbell, John Paul Pitoc, Brad Beyer, Lacey Kohl, Tori Spelling, Abbey Hope, Becky Caldwell, Kate Flannery, Steve Hayes, Will Keenan, Joey Dedio, Ricky Ritzel, Lissette Gutierrez, Lorri Bagley, Kevin Andrew, Bobby Peaco, Kevin Chamberlin, Eric Bernat"
The Spanish Prisoner,David Mamet,"Steve Martin, Ben Gazzara, Campbell Scott, Ricky Jay, Rebecca Pidgeon, Richard L. Friedman, Jerry Graff, G. Roy Levin, Hilary Hinckle, David Pittu, Christopher Kaldor, Felicity Huffman, Gary McDonald, Mike Robinson, Olivia Tecosky, Charlotte Potok, Paul Butler, J.J. Johnston"
The Country Girl,"Clifford Odets, George Seaton","Bing Crosby, Grace Kelly, William Holden, Anthony Ross, Gene Reynolds, Jacqueline Fontaine, Eddie Ryder, Robert Kent, John W. Reynolds, Bob Alden, Morgan Brown, Buddy Bryan, Steve Carruthers, George Chakiris, Charles Cirillo, Les Clark, Oliver Cross, Roy Damron"
The Yakuza,"Paul Schrader, Robert Towne, Leonard Schrader","Robert Mitchum, Ken Takakura, Eiji Okada, Herb Edelman, Richard Jordan, James Shigeta, Keiko Kishi, Christina Kokubo, Kyôsuke Machida, Brian Keith, Eiji Gô, Lee Chirillo, M. Hisaka, William Ross, Akiyama, Harada"
The Dead,"James Joyce, Tony Huston","Anjelica Huston, Donal McCann, Helena Carroll, Cathleen Delany, Rachael Dowling, Kate O'Toole, Bairbre Dowling, Maria Hayden, Cormac O'Herlihy, Colm Meaney, Ingrid Craigie, Dan O'Herlihy, Sean McClory, Frank Patterson, Marie Kean, Donal Donnelly, Maria McDermottroe, Lyda Anderson"
Dveselu putenis,"Boris Frumin, Aleksandrs Grins","Oto Brantevics, Greta Trusina, Martins Vilsons, Rezija Kalnina, Raimonds Celms, Jekabs Reinis, Gatis Gaga, Renars Zeltins, Vilis Daudzins, Ieva Florence, Natalija Buha, Evita Goze, Ziedonis Lochmelis, Sandis Pecis, Martins Liepa, Juris Lavins, Ivars Brakovskis, Juris Gornavs"
Il divo,Paolo Sorrentino,"Toni Servillo, Anna Bonaiuto, Giulio Bosetti, Flavio Bucci, Carlo Buccirosso, Giorgio Colangeli, Alberto Cracco, Piera Degli Esposti, Lorenzo Gioielli, Paolo Graziosi, Gianfelice Imparato, Massimo Popolizio, Aldo Ralli, Giovanni Vettorazzo, Orazio Alba, Fernando Altieri, Stewart Arnold, Nuot Arquint"
The Apostle,Robert Duvall,"Robert Duvall, Todd Allen, Paul Bagget, Lenore Banks, John Beasley, Mary Lynette Braxton, Brett Brock, Christopher Canady, Christian Canady, June Carter Cash, Elizabeth Chisolm, William Atlas Cole, Frank Collins Jr., Carl D. Cook, Naomi Craig, Wayne Dehart, Rick Dial, Farrah Fawcett"
Le Havre,Aki Kaurismäki,"André Wilms, Blondin Miguel, Jean-Pierre Darroussin, Kati Outinen, Elina Salo, Evelyne Didi, Quoc Dung Nguyen, Laïka, François Monnié, Little Bob, Pierre Étaix, Jean-Pierre Léaud, Vincent Lebodo, Umban U'kset, Patrick Bonnel, Ilkka Koivula, Myriam 'Mimie' Piazza, Luce Vigo"
Rurôni Kenshin: Sai shûshô - the Final,"Nobuhiro Watsuki, Keishi Otomo","Takeru Satoh, Mackenyu, Emi Takei, Yôsuke Eguchi, Munetaka Aoki, Yû Aoi, Yûsuke Iseya, Tao Tsuchiya, Ryosuke Miura, Takuma Otoo, Shingo Tsurumi, Takeo Nakahara, Riku Ônishi, Shinnosuke Abe, Shuntarô Yanagi, Joey Iwanaga, Eiki Narita, Kasumi Arimura"
Wong Fei-Hung,"Hark Tsui, Kai-Chi Yuen, Yiu-Ming Leung","Jet Li, Rosamund Kwan, Biao Yuen, Jacky Cheung, Kent Cheng, Kam-Fai Yuen, Shi-Kwan Yen, Shun Lau, Wu Ma, Jianguo Qiu, Cheung-Yan Yuen, Chi-Yeung Wong, Shun-Yee Yuen, Xin Xin Xiong, Jonathan Isgar, Mark King, Steve Tartalia, Colin George"
Fat City,Leonard Gardner,"Stacy Keach, Jeff Bridges, Susan Tyrrell, Candy Clark, Nicholas Colasanto, Art Aragon, Curtis Cokes, Sixto Rodriguez, Billy Walker, Wayne Mahan, Ruben Navarro, Álvaro López, Carl D. Parker, Bill Riddle, Al Silvani"
Utøya 22. juli,"Siv Rajendram Eliassen, Anna Bache-Wiig, Erik Poppe","Andrea Berntzen, Aleksander Holmen, Solveig Koløen Birkeland, Brede Fristad, Elli Rhiannon Müller Osborne, Jenny Svennevig, Ingeborg Enes, Sorosh Sadat, Ada Eide, Mariann Gjerdsbakk, Daniel Sang Tran, Torkel Dommersnes Soldal, Magnus Moen, Karoline Petronella Ulfsdatter Schau, Tamanna Agnihotri, Yngve Berven, Belinda Sørensen, Ann Iren Ødeby"
Le grand blond avec une chaussure noire,"Yves Robert, Francis Veber","Pierre Richard, Bernard Blier, Jean Rochefort, Mireille Darc, Colette Castel, Jean Obé, Robert Castel, Jean Saudray, Roger Caccia, Maurice Barrier, Robert Dalban, Arlette Balkis, Tania Balachova, Paul Le Person, Jean Carmet, Catherine Obe, Bernard Charlan, Stéphane Bouy"
Butterflies Are Free,Leonard Gershe,"Goldie Hawn, Edward Albert, Eileen Heckart, Paul Michael Glaser, Michael Warren, Charlene Jones, Jessica Rains, Paul Ryan, Debralee Scott, Sandra Vacey"
Sink the Bismarck!,"Edmund H. North, C.S. Forester","Kenneth More, Dana Wynter, Carl Möhner, Laurence Naismith, Geoffrey Keen, Karel Stepanek, Michael Hordern, Maurice Denham, Michael Goodliffe, Esmond Knight, Jack Watling, Jack Gwillim, Mark Dignam, Ernest Clark, John Horsley, Peter Burton, Sydney Tafler, John Stuart"
Vadh,"Rajeev Barnwal, Jaspal Singh Sandhu","Sanjay Mishra, Neena Gupta, Manav Vij, Saurabh Sachdeva, Jaspal Singh Sandhu, Nadeem Khan, Sumit Gulati, Diwakar Kumar, Ananya Singh, Santosh Yagnik, Sachin Bhoir, Jitendra Gaur, Tanya Lal, Raju Bisht, Aklavya Chaudhary, Poonam Rana, Prashant Mishra, Pranjal Pateriya"
The Fourth Man,"Gerard Reve, Gerard Soeteman","Jeroen Krabbé, Renée Soutendijk, Thom Hoffman, Dolf de Vries, Geert de Jong, Hans Veerman, Hero Muller, Caroline de Beus, Reinout Bussemaker, Erik J. Meijer, Ursul de Geer, Filip Bolluyt, Hedda Lornie, Paul Nygaard, Guus van der Made, Pamela Teves, Hella Faassen, Helen Hedy"
The Go-Between,"Harold Pinter, L.P. Hartley","Julie Christie, Alan Bates, Dominic Guard, Margaret Leighton, Michael Redgrave, Michael Gough, Edward Fox, Richard Gibson, Simon Hume-Kendall, Roger Lloyd Pack, Amaryllis Garnett, Keith Buckley, John Rees, Gordon Richardson, Jim Broadbent, Carl Dane, Joshua Losey, Arnold Schulkes"
Red Dust,"John Lee Mahin, Wilson Collison, Donald Ogden Stewart","Clark Gable, Jean Harlow, Gene Raymond, Mary Astor, Donald Crisp, Tully Marshall, Forrester Harvey, Willie Fung"
Sällskapsresan eller Finns det svenskt kaffe på grisfesten,"Lasse Åberg, Bo Jonsson","Lasse Åberg, Lottie Ejebrant, Jon Skolmen, Kim Anderzon, Roland Jansson, Magnus Härenstam, Ted Åström, Weiron Holmberg, Sven Melander, Margarita Calahorra, María Esperanza Santos, Germán Pérez, Miguel Ángel, Juan Socorra Vega, Eva Örn, Svante Grundberg, Mats Arehn, Lena-Pia Bernhardsson"
Flammen & Citronen,"Lars Kristian Andersen, Ole Christian Madsen","Thure Lindhardt, Mads Mikkelsen, Stine Stengade, Peter Mygind, Mille Lehfeldt, Christian Berkel, Hanns Zischler, Claus Riis Østergaard, Flemming Enevold, Lars Mikkelsen, Jesper Christensen, Lærke Winther, Peter Plaugborg, Martin Hestbæk, Thomas Voss, Martin Greis-Rosenthal, René Hansen, Jeppe Vig Find"
The Night of the Generals,"Joseph Kessel, Paul Dehn, Hans Hellmut Kirst","Peter O'Toole, Omar Sharif, Tom Courtenay, Donald Pleasence, Joanna Pettet, Philippe Noiret, Charles Gray, Coral Browne, John Gregson, Nigel Stock, Christopher Plummer, Juliette Gréco, Yves Brainville, Sacha Pitoëff, Charles Millot, Raymond Gérôme, Véronique Vendell, Pierre Mondy"
Qala,Anvita Dutt,"Triptii Dimri, Babil Khan, Swastika Mukherjee, Amit Sial, Sameer Kochhar, Girija Oak, Varun Grover, Tasveer Kamil, Anushka Sharma, Abhishek Banerjee, Rishi Gambhir, Guru Haryani, Alireza Jadidi, Neer Raao, Abhitosh Singh Rajput, Avinash Raj Sharma, Ashish Singh"
The Tiger,Park Hoon-jung,"Choi Min-sik, Hitanshu Barik, Kim Hong-pa, Park In-Soo, Jung Ji-so, Jeong Man-sik, Ra Mi-ran, Lee Na-ra, Kim Sang-ho, Jeong Seok-won, Kim Ye-jun, Nam Yeon-woo, Sung Yoo-bin, Ren Ôsugi"
Little Women,"Louisa May Alcott, Sarah Y. Mason, Victor Heerman","Katharine Hepburn, Joan Bennett, Paul Lukas, Edna May Oliver, Jean Parker, Frances Dee, Henry Stephenson, Douglass Montgomery, John Lodge, Spring Byington, Samuel S. Hinds, Mabel Colcord, Marion Ballou, Nydia Westman, Harry Beresford, Nina Borget, Francesca Braggiotti, Luke Cosgrave"
Love with the Proper Stranger,Arnold Schulman,"Natalie Wood, Steve McQueen, Edie Adams, Herschel Bernardi, Anne Hegira, Harvey Lembeck, Mario Badolati, Penny Santon, Elena Karam, Virginia Vincent, Nina Varela, E. Nick Alexander, Marilyn Chris, Augusta Ciolli, Wolfe Barzell, Tom Bosley, Loraine Abate, Jean Alexander"
The Ruling Class,Peter Barnes,"Peter O'Toole, Alastair Sim, Arthur Lowe, Hugh Owens, Harry Andrews, William Mervyn, Coral Browne, James Villiers, Hugh Burden, Michael Bryant, Henry Woolf, Griffith Davies, Oliver MacGreevy, Kay Walsh, Patsy Byrne, Carolyn Seymour, Neil Kennedy, Nigel Green"
Stardust Memories,Woody Allen,"Woody Allen, Charlotte Rampling, Jessica Harper, Marie-Christine Barrault, Tony Roberts, Daniel Stern, Amy Wright, Helen Hanft, John Rothman, Anne DeSalvo, Joan Neuman, Ken Chapin, Leonardo Cimino, Eli Mintz, Bob Maroff, Gabrielle Strasun, David Lipman, Robert Munk"
The Fortune Cookie,"Billy Wilder, I.A.L. Diamond","Jack Lemmon, Walter Matthau, Ron Rich, Judi West, Cliff Osmond, Lurene Tuttle, Harry Holcombe, Les Tremayne, Lauren Gilbert, Marge Redmond, Noam Pitlik, Harry Davis, Ann Shoemaker, Maryesther Denver, Ned Glass, Sig Ruman, Archie Moore, Howard McNear"
Rosewood,Gregory Poirier,"Jon Voight, Ving Rhames, Don Cheadle, Bruce McGill, Loren Dean, Esther Rolle, Elise Neal, Robert Patrick, Michael Rooker, Catherine Kellner, Akosua Busia, Paul Benjamin, Kevin Jackson, Mark Boone Junior, Muse Watson, Badja Djola, Kathryn Meisle, Jaimz Woolvett"
The General,"John Boorman, Paul Williams","Brendan Gleeson, Adrian Dunbar, Sean McGinley, Maria Doyle Kennedy, Angeline Ball, Jon Voight, Eanna MacLiam, Tom Murphy, Paul Hickey, Tommy O'Neill, John O'Toole, Ciarán Fitzgerald, Ned Dennehy, Vinny Murphy, Roxanna Nic Liam, Pat Laffan, Eamonn Owens, Colleen O'Neill"
Sour Grapes,"Laurent Ponsot, Jay McInerney, Jefery Levy","Laurent Ponsot, Jay McInerney, Jefery Levy, Maureen Downey, Rudy Kurniawan, Rajat Parr, Arthur Sarkissian, Corie Brown, Don Cornwell, David Fredston, Bill Koch, John Kapon, Brad Goldstein, Percy, James P. Wynne, Jerome H. Mooney, Vincent Verdiramo, Jason Hernandez"
Fyre,"Billy McFarland, Jason Bell, Gabrielle Bluestone","Billy McFarland, Jason Bell, Gabrielle Bluestone, Shiyuan Deng, Ja Rule, Michael Ciccarelli, Mdavid Low, Samuel Krost, Andy King, Henry Rolle, Brett Kincaid, Mick Purzycki, James Ryan Ohliger, Grant Margolin, Keith van der Linde, Marc Weinstein, Martin Howell, Mark Musters"
Spare Parts,"Joshua Davis, Elissa Matsueda","George Lopez, Jamie Lee Curtis, Carlos PenaVega, Marisa Tomei, José Julián, David Del Rio, Oscar Javier Gutierrez II, Alessandra Rosaldo, J.R. Villarreal, Aubrey K. Miller, Kevin Wiggins, Alexa PenaVega, J.P. Murrieta, Nicole Brady, Edward McGinty, David House, Mia Riverton, Travis Armstrong"
Talk Radio,"Stephen Singular, Eric Bogosian, Tad Savinar","Eric Bogosian, Ellen Greene, Leslie Hope, John C. McGinley, Alec Baldwin, John Pankow, Michael Wincott, Linda Atkinson, Robert Trebor, Zach Grenier, Tony Frank, Harlan Jordan, Bill Johnson, Kevin Howard, Anna Thomson, Bruno Rubeo, Pirie MacDonald, Allan Corduner"
American Pop,Ronni Kern,"Mews Small, Ron Thompson, Jerry Holland, Lisa Jane Persky, Jeffrey Lippa, Roz Kelly, Frank DeKova, Rick Singer, Elsa Raven, Ben Frommer, Amy Levitt, Leonard Stone, Eric Taslitz, Gene Borkan, Richard Moll, Beatrice Colen, Vincent Schiavelli, Hilary Beane"
"Batman: The Long Halloween, Part Two","Bill Finger, Bob Kane, Jeph Loeb","Jensen Ackles, Josh Duhamel, Naya Rivera, Troy Baker, Laila Berzins, Billy Burke, Zach Callison, David Dastmalchian, Alyssa Diaz, John DiMaggio, Robin Atkin Downes, Alastair Duncan, Gary LeRoi Gray, Amy Landecker, Julie Nathanson, Jim Pirri, Katee Sackhoff, Fred Tatasciore"
Talaash,"Farhan Akhtar, Anurag Kashyap, Zoya Akhtar","Aamir Khan, Kareena Kapoor, Rani Mukerji, Nawazuddin Siddiqui, Rajkummar Rao, Suhaas Ahuja, Vivan Bhatena, Pariva Pranati, Jineet Rath, Sheeba Chaddha, Shernaz Patel, Subrat Dutta, Aditi Vasudev, Gulfam Khan, Prashant Prakash, Shivani Tanksale, Ashish Nayyar, Ulhas Barve"
... continuavano a chiamarlo Trinità,"Enzo Barboni, Gene Luotto","Terence Hill, Bud Spencer, Yanti Somer, Enzo Tarascio, Harry Carey Jr., Pupo De Luca, Jessica Dublin, Dana Ghia, Emilio Delle Piane, Enzo Fiermonte, Antonio Monselesan, Franco Ressel, Riccardo Pizzuti, Benito Stefanelli, Fortunato Arena, Gérard Landry, Jean Louis, Luigi Bonos"
The Naked Kiss,Samuel Fuller,"Constance Towers, Anthony Eisley, Michael Dante, Virginia Grey, Patsy Kelly, Betty Bronson, Marie Devereux, Karen Conrad, Linda Francis, Barbara Perry, Walter Mathews, Betty Robinson, Jean-Michel Michenaud, Christopher Barrey, George Spell, Patty Robinson, Neyle Morrow, Monte Mansfield"
